iter	Passed	Remaining
0	6	6942
1	9	4852
2	13	4384
3	16	3996
4	18	3709
5	21	3570
6	24	3426
7	27	3348
8	29	3281
9	32	3235
10	35	3191
11	38	3137
12	40	3105
13	43	3077
14	46	3056
15	49	3037
16	52	3029
17	55	3016
18	58	3012
19	62	3044
20	65	3037
21	67	3018
22	70	3002
23	73	2984
24	76	2981
25	79	2974
26	82	2974
27	85	2967
28	88	2956
29	91	2948
30	94	2940
31	97	2936
32	100	2930
33	102	2925
34	105	2914
35	108	2913
36	111	2906
37	114	2899
38	117	2893
39	120	2885
40	123	2888
41	126	2881
42	129	2876
43	132	2870
44	134	2864
45	137	2860
46	140	2855
47	143	2849
48	146	2843
49	149	2837
50	152	2832
51	155	2829
52	158	2825
53	160	2819
54	163	2813
55	166	2808
56	169	2803
57	172	2800
58	175	2794
59	178	2789
60	180	2783
61	183	2778
62	186	2774
63	189	2771
64	192	2767
65	195	2762
66	198	2761
67	201	2758
68	204	2754
69	207	2750
70	209	2746
71	212	2742
72	215	2738
73	218	2735
74	221	2735
75	225	2735
76	228	2734
77	231	2732
78	234	2730
79	237	2729
80	240	2727
81	243	2726
82	246	2726
83	249	2725
84	253	2724
85	256	2722
86	259	2720
87	262	2718
88	265	2716
89	268	2719
90	271	2716
91	274	2712
92	277	2708
93	280	2704
94	283	2699
95	286	2698
96	289	2694
97	292	2690
98	295	2686
99	298	2682
100	300	2678
101	303	2675
102	306	2672
103	309	2669
104	312	2665
105	315	2663
106	319	2664
107	322	2664
108	325	2662
109	328	2661
110	331	2657
111	334	2655
112	337	2652
113	340	2650
114	344	2647
115	347	2645
116	350	2644
117	353	2640
118	356	2636
119	358	2632
120	361	2628
121	365	2627
122	368	2624
123	371	2621
124	373	2617
125	376	2613
126	379	2610
127	382	2608
128	385	2605
129	388	2601
130	391	2597
131	394	2593
132	397	2593
133	400	2590
134	403	2586
135	406	2582
136	409	2578
137	412	2575
138	415	2573
139	418	2570
140	421	2567
141	424	2563
142	427	2560
143	430	2559
144	433	2557
145	436	2554
146	439	2552
147	443	2550
148	446	2550
149	449	2548
150	452	2545
151	455	2541
152	458	2537
153	461	2536
154	464	2534
155	467	2530
156	470	2527
157	473	2523
158	476	2519
159	479	2518
160	482	2515
161	485	2512
162	488	2508
163	491	2504
164	494	2502
165	497	2498
166	500	2494
167	502	2491
168	505	2487
169	508	2483
170	511	2480
171	514	2477
172	517	2473
173	520	2469
174	522	2465
175	525	2461
176	528	2458
177	531	2454
178	534	2450
179	537	2447
180	539	2443
181	542	2440
182	545	2436
183	548	2433
184	551	2429
185	554	2426
186	557	2422
187	560	2419
188	563	2416
189	565	2412
190	568	2409
191	571	2405
192	574	2402
193	577	2398
194	580	2395
195	583	2392
196	586	2389
197	589	2386
198	592	2383
199	595	2382
200	598	2380
201	601	2376
202	604	2372
203	607	2369
204	610	2366
205	613	2363
206	616	2361
207	619	2358
208	622	2355
209	625	2353
210	628	2350
211	631	2347
212	634	2345
213	637	2342
214	641	2341
215	644	2339
216	647	2336
217	650	2332
218	653	2329
219	656	2327
220	659	2324
221	662	2320
222	665	2317
223	668	2314
224	671	2311
225	674	2308
226	676	2304
227	679	2301
228	682	2298
229	685	2295
230	688	2292
231	691	2288
232	694	2285
233	697	2283
234	700	2279
235	703	2277
236	706	2274
237	709	2270
238	712	2267
239	714	2264
240	717	2260
241	720	2257
242	723	2253
243	726	2250
244	729	2247
245	732	2243
246	734	2240
247	737	2236
248	740	2233
249	743	2230
250	746	2227
251	749	2223
252	752	2220
253	754	2216
254	757	2213
255	760	2210
256	763	2207
257	766	2203
258	769	2200
259	772	2197
260	774	2194
261	777	2190
262	780	2187
263	783	2184
264	786	2181
265	789	2178
266	792	2176
267	795	2173
268	798	2170
269	802	2168
270	805	2166
271	808	2164
272	811	2160
273	814	2157
274	817	2154
275	820	2151
276	823	2148
277	825	2145
278	828	2142
279	832	2139
280	835	2137
281	838	2134
282	842	2134
283	846	2133
284	849	2130
285	852	2129
286	855	2125
287	858	2122
288	861	2119
289	864	2115
290	867	2114
291	870	2110
292	873	2107
293	876	2104
294	879	2101
295	882	2098
296	885	2095
297	888	2092
298	890	2088
299	893	2085
300	896	2082
301	899	2079
302	902	2075
303	905	2072
304	908	2069
305	910	2066
306	913	2063
307	916	2059
308	919	2056
309	922	2053
